session_id,timestamp,user_id,original_language,target_language,speech_duration_sec,speech_speed_wpm,audio_clarity,visual_scene_type,lighting_condition,object_detected,translated_text_length_words,translation_accuracy_percent
243,2025-03-15 14:03:09,7059,Igbo,French,18.94,94.11,Clear,Market,Bright,Sign,18,71.73
244,2025-01-22 18:37:32,3984,English,Arabic,18.03,81.3,Noisy,Indoor,Bright,Text,11,89.44
245,2025-05-23 17:20:07,7149,Hausa,Yoruba,17.11,92.28,Clear,Street,Natural,Person,23,83.32
246,2025-04-11 09:46:12,4960,French,Yoruba,9.01,169.27,Noisy,Office,Natural,Sign,9,73.67
247,2025-01-04 05:20:08,8383,Yoruba,French,5.93,117.97,Noisy,Indoor,Dim,Text,27,61.37
248,2025-03-02 10:30:58,2537,French,Hausa,16.78,114.52,Noisy,Outdoor,Artificial,Person,34,74.51
249,2025-05-11 23:18:14,5137,Igbo,English,17.36,101.95,Moderate,Indoor,Bright,Text,26,91.19
250,2025-01-09 00:22:47,4366,Hausa,English,3.17,136.58,Moderate,Market,Natural,None,27,91.99
251,2025-05-31 18:03:30,8556,English,Arabic,9.08,82.25,Moderate,Office,Natural,Text,18,89.67
252,2025-04-12 03:43:43,7338,English,Igbo,14.28,120.26,Clear,Classroom,Dim,Person,13,65.57
253,2025-03-30 20:23:51,3245,English,Hausa,16.86,178.44,Clear,Market,Natural,None,33,66.87
254,2025-03-14 17:24:38,6469,Hausa,Yoruba,6.17,81.84,Clear,Classroom,Bright,Text,22,81.19
255,2025-01-10 17:06:38,1910,French,Igbo,16.49,129.81,Clear,Outdoor,Dim,Person,38,82.17
256,2025-04-03 20:30:28,1468,Yoruba,Hausa,13.38,162.97,Clear,Outdoor,Artificial,Obstacle,27,64.26
257,2025-06-27 20:28:54,6326,Yoruba,Hausa,3.66,106.37,Moderate,Classroom,Dim,None,35,94.96
258,2025-04-11 03:20:26,4749,French,English,12.35,140.05,Noisy,Classroom,Dim,None,11,82.93
259,2025-01-05 13:12:30,5014,English,French,16.92,120.44,Clear,Market,Artificial,Sign,6,66.65
260,2025-03-08 05:08:14,5989,Igbo,English,15.02,88.28,Clear,Market,Natural,None,40,90.84
261,2025-04-18 23:19:39,3297,English,Hausa,2.3,163.71,Moderate,Outdoor,Natural,Person,15,74.23
262,2025-04-08 05:16:51,1219,English,Yoruba,14.66,109.71,Moderate,Indoor,Natural,Obstacle,39,97.97
263,2025-05-19 06:31:07,4205,French,Igbo,8.54,175.41,Moderate,Office,Dim,Text,26,89.3
264,2025-03-25 09:27:23,1203,Arabic,Igbo,5.08,83.12,Moderate,Classroom,Natural,Obstacle,24,66.48
265,2025-04-03 08:19:49,2716,Igbo,French,16.99,164.64,Noisy,Classroom,Dim,Person,49,66.19
266,2025-03-14 13:41:08,2941,English,Arabic,12.84,127.42,Noisy,Classroom,Natural,Obstacle,13,63.01
267,2025-05-28 17:32:13,5600,English,Igbo,14.84,129.55,Noisy,Classroom,Bright,Person,47,83.93
268,2025-02-05 22:44:52,4976,English,French,9.73,87.59,Moderate,Market,Artificial,Text,41,60.09
269,2025-05-28 08:28:32,9318,Yoruba,Igbo,19.39,80.53,Moderate,Office,Dim,Sign,16,74.44
270,2025-02-14 12:17:47,2277,Yoruba,Hausa,2.74,171.73,Noisy,Market,Artificial,None,21,98.01
271,2025-06-19 08:44:03,3193,French,English,9.47,98.51,Moderate,Classroom,Bright,Sign,20,94.92
272,2025-01-28 02:07:50,3648,Igbo,English,14.91,160.66,Moderate,Classroom,Artificial,Sign,27,88.96
273,2025-01-15 06:25:38,1530,Hausa,French,13.11,178.06,Moderate,Street,Artificial,Text,22,79.58
274,2025-02-03 09:27:29,2724,Hausa,Arabic,5.2,178.77,Moderate,Indoor,Dim,Text,49,86.8
275,2025-01-03 05:08:49,4684,Hausa,Igbo,1.84,138.83,Moderate,Street,Natural,Text,21,67.22
276,2025-05-09 16:28:35,6366,Hausa,English,11.79,171.55,Clear,Classroom,Dim,Person,18,64.82
277,2025-03-05 22:01:38,8908,French,English,14.89,99.26,Noisy,Market,Dim,Text,12,98.84
278,2025-06-23 02:40:15,5159,Igbo,Hausa,18.94,127.42,Moderate,Street,Dim,None,34,62.2
279,2025-03-24 13:51:56,4106,Igbo,French,9.65,132.24,Clear,Street,Dim,Sign,43,61.48
280,2025-01-03 00:24:56,8356,English,Hausa,12.33,103.0,Moderate,Market,Artificial,None,49,63.08
281,2025-05-31 14:22:59,2597,Igbo,French,14.23,113.99,Clear,Street,Bright,Sign,27,62.61
282,2025-06-05 17:18:55,8445,English,Yoruba,6.99,133.95,Moderate,Market,Natural,Person,33,86.47
283,2025-03-25 20:07:24,9901,French,Igbo,15.02,132.02,Noisy,Outdoor,Dim,Obstacle,49,84.63
284,2025-05-14 01:06:06,1387,Arabic,Yoruba,5.43,82.44,Moderate,Indoor,Natural,Sign,46,99.61
285,2025-01-08 08:46:01,3359,French,Hausa,1.0,98.55,Clear,Outdoor,Artificial,Sign,22,97.56
286,2025-03-01 04:38:06,7233,Arabic,French,16.18,179.79,Moderate,Street,Artificial,Text,33,90.69
287,2025-05-19 03:47:34,8799,Arabic,Hausa,8.64,127.99,Clear,Street,Natural,None,20,94.95
288,2025-05-26 10:24:20,5076,Hausa,French,19.7,156.83,Clear,Street,Dim,Sign,29,73.45
289,2025-05-26 20:21:35,6882,Hausa,French,10.93,153.23,Moderate,Classroom,Bright,Obstacle,7,78.69
290,2025-06-29 07:49:32,3970,French,Arabic,6.64,165.28,Clear,Street,Dim,Person,22,69.34
291,2025-02-09 19:56:50,6659,Arabic,Igbo,1.8,81.79,Noisy,Classroom,Artificial,Person,19,77.11
292,2025-01-10 20:42:59,3245,Yoruba,Arabic,8.3,147.96,Clear,Office,Bright,Text,16,98.26
293,2025-06-24 21:47:32,2390,Igbo,English,16.16,105.9,Noisy,Street,Dim,Text,10,99.29
294,2025-02-24 12:53:23,3542,Arabic,English,17.8,140.08,Clear,Street,Dim,Obstacle,17,99.57
295,2025-02-25 04:46:27,6468,Arabic,English,15.12,86.5,Noisy,Street,Bright,Person,12,97.71
296,2025-06-16 07:42:20,2930,Igbo,Yoruba,13.34,140.77,Moderate,Indoor,Dim,Text,49,64.81
297,2025-04-20 15:05:51,5255,Igbo,Arabic,1.89,118.41,Clear,Office,Bright,Obstacle,45,67.46
298,2025-02-24 18:19:55,3537,Hausa,Arabic,15.81,115.01,Noisy,Street,Dim,Sign,9,85.19
299,2025-02-21 21:28:04,3138,Yoruba,Arabic,5.11,131.83,Clear,Market,Artificial,Sign,24,99.8
300,2025-05-08 10:21:46,7065,Hausa,English,4.3,119.62,Moderate,Classroom,Bright,Text,22,87.84
301,2025-06-27 13:18:37,1564,Hausa,Yoruba,3.92,161.58,Clear,Market,Artificial,Obstacle,42,84.92
302,2025-03-13 11:17:10,5246,Arabic,Yoruba,15.21,83.49,Clear,Market,Bright,None,8,83.2
303,2025-05-01 09:20:00,8774,English,Igbo,2.74,167.75,Noisy,Indoor,Dim,Person,7,70.92
304,2025-03-08 21:48:37,4127,Hausa,Arabic,10.06,84.44,Clear,Indoor,Natural,Text,38,94.49
305,2025-01-24 00:30:51,2894,English,Yoruba,16.38,145.52,Moderate,Street,Dim,Text,9,89.41
306,2025-01-01 00:09:03,5578,Yoruba,Arabic,6.35,105.26,Moderate,Classroom,Bright,Person,42,70.39
307,2025-06-14 04:01:44,4120,Igbo,English,14.74,129.59,Clear,Outdoor,Natural,None,10,98.48
308,2025-03-15 03:14:03,6216,English,Igbo,3.08,169.45,Noisy,Indoor,Dim,Text,17,94.05
309,2025-01-04 18:58:39,5897,Hausa,Arabic,10.41,128.06,Noisy,Market,Artificial,None,33,96.26
310,2025-02-23 02:00:26,6288,Yoruba,English,11.86,146.21,Moderate,Street,Natural,Person,44,82.63
311,2025-03-23 04:39:36,5172,Hausa,Arabic,6.07,167.86,Clear,Outdoor,Dim,None,23,94.73
312,2025-03-28 15:49:34,1074,Yoruba,English,5.66,95.73,Moderate,Market,Dim,Person,45,73.36
313,2025-05-21 16:19:39,3616,Yoruba,French,5.54,173.01,Clear,Office,Natural,Sign,40,84.74
314,2025-04-03 03:17:20,6908,French,Yoruba,15.3,95.86,Clear,Market,Dim,Sign,47,98.45
315,2025-05-08 05:12:44,9584,French,Yoruba,9.84,167.91,Moderate,Classroom,Natural,Sign,46,65.15
316,2025-05-22 23:09:05,6831,Igbo,Yoruba,7.37,154.35,Noisy,Street,Dim,Person,35,60.04
317,2025-05-24 14:59:41,8983,Igbo,French,11.57,155.66,Noisy,Street,Dim,Text,16,60.26
318,2025-02-24 08:13:41,5448,English,French,6.45,141.69,Noisy,Indoor,Natural,Text,45,85.27
319,2025-04-14 01:03:15,8789,Igbo,Hausa,5.94,143.4,Clear,Street,Natural,Text,28,92.75
320,2025-04-25 18:20:13,6012,Arabic,French,3.44,108.33,Moderate,Indoor,Artificial,Sign,11,81.65
321,2025-04-22 01:17:37,6889,Arabic,English,19.3,114.19,Noisy,Street,Natural,Obstacle,19,97.28
322,2025-03-09 03:24:14,3468,Hausa,Arabic,2.95,173.72,Noisy,Outdoor,Natural,None,36,90.83
323,2025-06-18 04:57:32,8912,Hausa,Igbo,19.0,96.64,Moderate,Outdoor,Dim,Obstacle,16,62.69
324,2025-01-30 11:15:09,9078,Arabic,Igbo,12.06,114.59,Noisy,Office,Dim,None,30,62.99
325,2025-01-01 20:37:41,8366,Igbo,Yoruba,17.2,179.01,Clear,Outdoor,Natural,Sign,33,77.84
326,2025-01-12 09:55:48,8138,French,Yoruba,13.3,139.44,Moderate,Classroom,Artificial,Obstacle,16,60.98
327,2025-03-13 03:21:59,4113,Arabic,Igbo,1.42,112.36,Noisy,Indoor,Natural,Obstacle,19,92.75
328,2025-05-12 12:05:34,2416,Igbo,Hausa,5.8,80.1,Moderate,Street,Artificial,Obstacle,38,70.95
329,2025-01-02 03:44:40,5858,French,Arabic,19.95,122.62,Clear,Street,Artificial,Sign,17,94.17
330,2025-06-01 20:03:56,9953,French,Yoruba,11.01,162.59,Moderate,Market,Dim,Sign,15,68.83
331,2025-03-15 22:45:33,2735,English,Igbo,2.57,148.05,Clear,Outdoor,Artificial,None,26,65.25
332,2025-01-26 16:20:12,4848,Yoruba,French,17.49,176.32,Clear,Indoor,Bright,None,32,89.25
333,2025-06-04 10:20:22,9180,Hausa,English,18.28,165.74,Moderate,Street,Natural,Person,24,75.9
334,2025-02-16 06:29:38,5364,English,Hausa,6.21,178.4,Clear,Office,Bright,Text,5,72.83
335,2025-06-15 05:22:09,8994,Arabic,French,14.76,154.58,Noisy,Street,Dim,Person,39,61.25
336,2025-06-10 02:34:09,5488,Igbo,Arabic,13.38,116.85,Clear,Outdoor,Natural,Person,19,78.86
337,2025-06-28 06:28:27,6674,English,Arabic,11.32,95.92,Clear,Classroom,Natural,Text,29,94.74
338,2025-01-12 23:47:45,9544,French,Igbo,15.76,157.09,Noisy,Market,Artificial,None,11,85.05
339,2025-01-13 13:20:04,1248,Arabic,French,3.49,83.25,Noisy,Market,Artificial,Text,7,67.42
340,2025-02-21 19:20:21,2075,French,Yoruba,9.78,80.12,Clear,Office,Artificial,Sign,11,65.01
341,2025-02-06 00:45:27,4673,English,Arabic,14.03,123.03,Moderate,Street,Artificial,Text,42,69.02
342,2025-03-15 10:32:29,1724,French,English,4.06,145.15,Clear,Street,Dim,Person,6,91.9
343,2025-06-11 15:00:39,2696,Yoruba,French,6.9,125.52,Moderate,Office,Natural,Text,12,78.58
344,2025-05-14 10:58:24,2886,Hausa,French,13.93,119.55,Noisy,Classroom,Dim,Obstacle,35,88.88
345,2025-02-14 08:36:54,8248,English,Yoruba,13.48,155.71,Clear,Market,Natural,Text,42,96.31
346,2025-02-08 15:17:15,1991,Igbo,Hausa,14.76,154.92,Noisy,Classroom,Natural,Text,45,69.68
347,2025-02-06 10:49:03,1726,English,Arabic,19.75,94.25,Moderate,Street,Dim,Obstacle,20,79.29
348,2025-05-09 15:06:11,1533,Igbo,English,5.0,114.6,Noisy,Office,Dim,Person,44,60.39
349,2025-06-05 15:59:15,3842,English,Hausa,7.2,131.77,Moderate,Classroom,Dim,None,37,95.3
350,2025-06-14 16:44:56,8809,Igbo,French,2.57,162.45,Noisy,Street,Natural,None,30,75.88
351,2025-05-12 23:09:36,9715,French,Igbo,3.52,136.75,Moderate,Street,Dim,Obstacle,19,68.01
352,2025-04-23 17:10:22,8268,Arabic,French,4.18,90.46,Clear,Street,Natural,Text,15,64.97
353,2025-03-10 23:08:16,2722,English,Igbo,18.03,139.48,Noisy,Classroom,Natural,None,13,62.08
354,2025-03-30 06:40:04,8892,English,French,11.28,150.91,Moderate,Classroom,Dim,Sign,12,97.89
355,2025-05-21 08:08:09,7083,French,Yoruba,12.88,158.34,Clear,Street,Bright,Sign,11,86.43
356,2025-04-15 23:31:18,5340,French,Arabic,11.51,139.75,Clear,Outdoor,Natural,Person,26,78.09
357,2025-01-01 03:51:01,4865,French,Hausa,13.23,132.64,Clear,Street,Natural,Text,46,77.54
358,2025-03-15 23:06:46,1315,Arabic,French,14.77,139.33,Clear,Office,Bright,Obstacle,16,66.38
359,2025-01-26 01:32:32,1026,French,Yoruba,17.56,101.92,Noisy,Classroom,Natural,Text,40,89.77
360,2025-02-09 22:57:57,9371,Hausa,Arabic,17.56,123.37,Moderate,Classroom,Dim,None,36,79.93
361,2025-06-27 10:26:56,9356,French,Hausa,11.55,151.92,Noisy,Market,Artificial,Obstacle,26,73.29
362,2025-04-09 08:25:05,1150,Yoruba,Igbo,11.31,129.33,Noisy,Classroom,Bright,Sign,32,67.98
363,2025-05-20 22:53:16,7644,French,Arabic,13.92,87.22,Clear,Classroom,Bright,None,19,70.31
364,2025-06-24 01:09:53,6628,Yoruba,French,9.79,166.83,Noisy,Street,Artificial,None,35,76.64
365,2025-05-05 05:52:33,5329,Igbo,English,17.08,142.88,Noisy,Indoor,Dim,Person,32,74.84
366,2025-01-17 18:48:26,4610,Yoruba,Igbo,19.77,84.01,Noisy,Indoor,Artificial,Person,36,83.52
367,2025-04-30 13:46:38,1593,Arabic,French,1.56,119.55,Moderate,Market,Natural,Obstacle,40,94.94
368,2025-02-23 21:34:54,3862,English,Arabic,18.11,122.17,Noisy,Outdoor,Artificial,Obstacle,46,99.69
369,2025-05-06 21:11:02,6922,Yoruba,Arabic,6.39,115.92,Noisy,Outdoor,Dim,Text,7,84.92
370,2025-06-17 03:46:01,6206,Yoruba,English,13.0,153.31,Moderate,Market,Bright,Obstacle,39,91.04
371,2025-03-01 17:02:32,5232,Yoruba,French,8.7,140.19,Clear,Classroom,Artificial,None,46,69.5
372,2025-05-10 11:44:55,4664,French,Yoruba,19.46,98.1,Noisy,Street,Natural,Text,9,62.77
373,2025-03-22 16:45:51,6774,French,Arabic,9.31,89.74,Clear,Market,Natural,Person,18,80.59
374,2025-04-20 23:35:43,5938,Arabic,Igbo,7.83,139.3,Clear,Market,Bright,Person,10,86.08
375,2025-04-13 10:38:44,5457,French,Hausa,6.93,119.9,Moderate,Outdoor,Dim,Sign,39,86.27
376,2025-06-27 00:44:45,7684,Arabic,French,7.18,157.35,Moderate,Street,Bright,Text,40,98.79
377,2025-03-27 17:54:17,4484,English,Arabic,9.62,103.61,Moderate,Office,Bright,Text,7,77.68
378,2025-06-02 13:59:00,6044,English,Arabic,7.29,124.88,Clear,Market,Dim,Text,16,93.16
379,2025-05-11 02:39:07,6541,French,Arabic,9.19,104.87,Clear,Classroom,Bright,Text,47,97.94
380,2025-01-31 15:38:28,1318,Hausa,Yoruba,5.8,115.93,Clear,Indoor,Bright,Person,32,61.47
381,2025-06-27 16:34:04,1372,English,French,14.99,146.38,Moderate,Classroom,Artificial,Obstacle,41,91.27
382,2025-04-06 12:27:49,7940,Arabic,Igbo,14.4,124.64,Clear,Market,Bright,Text,19,82.33
383,2025-05-01 19:33:24,9541,Arabic,Yoruba,11.26,83.42,Clear,Classroom,Dim,Obstacle,18,62.28
384,2025-06-02 21:08:21,3350,Igbo,Hausa,11.09,173.66,Clear,Outdoor,Natural,None,33,85.6
385,2025-04-17 22:27:44,8155,French,English,5.27,98.0,Noisy,Street,Bright,Obstacle,9,64.13
386,2025-06-01 19:02:26,8845,Yoruba,Arabic,12.11,148.82,Moderate,Street,Natural,Obstacle,24,99.47
387,2025-05-04 08:43:10,8714,English,Yoruba,19.34,80.49,Noisy,Indoor,Artificial,None,38,72.93
388,2025-01-31 04:37:34,4957,French,Yoruba,19.49,138.01,Noisy,Classroom,Artificial,Sign,47,79.55
389,2025-05-09 17:58:19,1138,English,Hausa,13.67,93.97,Noisy,Street,Artificial,Obstacle,49,65.74
390,2025-01-22 09:57:08,9509,Arabic,Hausa,18.86,153.29,Moderate,Indoor,Bright,Sign,12,98.8
391,2025-05-23 12:34:56,6289,Yoruba,Arabic,2.78,147.26,Moderate,Classroom,Dim,Obstacle,36,69.38
392,2025-02-17 08:45:50,6906,Igbo,French,19.3,105.53,Clear,Market,Dim,None,5,93.52
393,2025-02-08 08:44:29,1662,Arabic,Igbo,18.95,148.32,Moderate,Office,Natural,None,22,84.71
394,2025-01-21 01:26:24,3091,Arabic,Igbo,17.51,137.06,Noisy,Market,Bright,Person,16,64.52
395,2025-02-08 13:11:18,6665,Hausa,French,16.11,171.87,Noisy,Outdoor,Natural,Obstacle,5,68.63
396,2025-03-03 00:31:22,8047,Arabic,French,13.52,119.39,Noisy,Outdoor,Natural,Sign,9,83.09
397,2025-03-27 18:37:30,6248,English,Hausa,7.62,95.93,Clear,Market,Bright,None,10,72.72
398,2025-06-15 12:14:57,5751,English,French,17.46,179.33,Clear,Indoor,Artificial,None,17,91.3
399,2025-04-10 23:32:41,6677,Igbo,Arabic,11.77,153.84,Clear,Office,Artificial,Sign,8,86.02
400,2025-05-01 11:08:52,1971,Hausa,Igbo,15.54,172.57,Noisy,Market,Bright,Person,23,92.31
401,2025-01-30 01:38:56,2976,Yoruba,English,15.48,159.78,Clear,Office,Bright,Sign,23,94.76
402,2025-03-09 23:59:14,8514,Arabic,French,8.14,109.69,Clear,Office,Bright,Sign,11,60.23
403,2025-03-25 10:25:20,8307,French,Igbo,7.17,116.65,Clear,Indoor,Artificial,Obstacle,11,82.54
404,2025-04-17 12:46:57,7746,Arabic,Yoruba,8.23,134.85,Noisy,Indoor,Natural,Text,37,69.5
405,2025-04-18 08:08:16,5072,Arabic,English,8.09,102.73,Moderate,Classroom,Artificial,Person,30,83.48
406,2025-01-27 17:33:07,2867,English,Hausa,4.2,144.26,Clear,Outdoor,Natural,Person,6,78.54
407,2025-05-05 22:47:27,3526,Arabic,Yoruba,8.22,166.33,Noisy,Outdoor,Dim,Obstacle,6,79.17
408,2025-02-08 01:45:23,6490,Hausa,English,1.49,114.12,Moderate,Outdoor,Dim,Obstacle,16,65.96
409,2025-06-28 21:58:03,8901,Arabic,French,11.01,104.61,Noisy,Market,Artificial,Person,40,84.32
410,2025-05-01 03:08:36,1843,French,Hausa,15.53,161.3,Clear,Indoor,Artificial,Obstacle,48,98.22
411,2025-05-06 16:34:39,7425,Igbo,Arabic,1.35,99.58,Clear,Outdoor,Natural,None,20,85.9
412,2025-05-09 00:27:04,5412,English,Igbo,18.06,104.35,Clear,Outdoor,Artificial,None,15,75.2
413,2025-02-13 03:28:20,3892,Igbo,English,4.75,127.92,Noisy,Outdoor,Dim,Text,23,64.06
414,2025-02-19 12:38:08,9561,Hausa,Arabic,10.23,105.68,Moderate,Street,Artificial,Text,31,97.18
415,2025-01-02 09:48:10,3461,English,Igbo,11.11,138.09,Moderate,Classroom,Artificial,Obstacle,46,84.41
416,2025-03-12 14:49:26,2860,Arabic,Hausa,14.61,107.26,Clear,Office,Natural,Text,8,92.93
417,2025-02-19 11:41:12,6983,Hausa,Yoruba,10.93,92.32,Noisy,Classroom,Dim,Obstacle,48,67.26
418,2025-06-12 07:11:58,9626,English,Yoruba,10.98,150.9,Moderate,Outdoor,Bright,None,46,67.41
419,2025-02-10 01:11:49,4263,Igbo,Yoruba,18.44,122.45,Moderate,Outdoor,Dim,Text,11,92.63
420,2025-05-21 13:17:00,8920,French,English,8.1,132.65,Clear,Indoor,Dim,Obstacle,17,84.06
421,2025-02-02 21:48:38,6054,Yoruba,Igbo,16.56,168.42,Clear,Classroom,Artificial,Obstacle,13,91.75
422,2025-02-09 05:46:36,2505,Hausa,Arabic,13.29,97.48,Clear,Street,Artificial,Text,46,96.0
423,2025-03-04 03:30:39,8188,French,Yoruba,7.72,103.69,Moderate,Street,Dim,None,41,72.08
424,2025-02-04 08:19:48,6629,Arabic,Igbo,14.91,165.12,Noisy,Market,Natural,Text,43,86.7
425,2025-05-15 12:19:16,7204,Hausa,Igbo,2.82,142.39,Moderate,Street,Natural,Text,37,76.96
426,2025-04-05 20:23:18,1634,Yoruba,English,3.91,103.52,Noisy,Market,Artificial,Person,48,94.51
427,2025-06-28 05:14:18,7905,Hausa,Yoruba,5.12,89.57,Moderate,Market,Bright,Person,41,85.68
428,2025-03-16 01:20:52,5531,Arabic,Yoruba,12.53,134.67,Noisy,Outdoor,Artificial,Text,14,70.28
429,2025-04-06 18:41:26,7072,French,Arabic,13.01,85.85,Clear,Outdoor,Dim,Sign,29,99.51
430,2025-03-19 00:40:14,1521,French,Hausa,3.59,149.51,Noisy,Classroom,Natural,Sign,7,77.71
431,2025-06-12 08:36:51,3157,Yoruba,Arabic,9.47,152.45,Clear,Market,Dim,Sign,15,99.65
432,2025-06-24 13:17:47,6933,Igbo,Arabic,3.44,90.41,Moderate,Office,Artificial,Sign,30,73.49
433,2025-05-06 00:22:38,2752,Igbo,Hausa,18.2,157.26,Noisy,Outdoor,Dim,Obstacle,40,63.43
434,2025-02-11 11:32:24,9759,Arabic,Yoruba,17.99,99.19,Clear,Indoor,Dim,Text,12,74.68
435,2025-01-26 17:00:29,6575,English,Hausa,7.53,141.72,Noisy,Market,Bright,Text,17,80.76
436,2025-03-13 10:50:53,5011,Hausa,French,2.28,160.04,Noisy,Indoor,Dim,Text,31,85.61
437,2025-03-21 10:49:24,6838,Arabic,English,6.15,139.28,Clear,Office,Artificial,Person,7,81.32
438,2025-02-22 13:13:17,5440,French,Hausa,7.16,113.3,Clear,Street,Dim,Sign,10,62.09
439,2025-03-28 10:26:19,4455,Arabic,Igbo,8.19,116.29,Noisy,Classroom,Bright,None,39,89.23
440,2025-05-17 06:18:09,7373,Igbo,Hausa,9.84,86.01,Clear,Outdoor,Bright,Text,48,63.55
441,2025-06-06 18:36:10,7522,Yoruba,English,19.27,143.5,Noisy,Market,Natural,Text,20,76.38
442,2025-06-13 12:00:13,5947,Igbo,English,9.03,162.18,Clear,Market,Natural,Obstacle,16,73.9
443,2025-02-03 21:53:43,4496,Arabic,English,13.63,159.54,Moderate,Indoor,Bright,Obstacle,20,75.3
444,2025-01-14 06:51:15,6582,French,Arabic,3.28,177.42,Moderate,Market,Dim,None,9,89.49
445,2025-05-15 09:38:01,2367,Hausa,English,15.6,104.37,Moderate,Outdoor,Bright,Obstacle,34,80.84
446,2025-05-17 14:33:58,7735,French,Arabic,12.85,88.91,Clear,Outdoor,Artificial,Person,43,94.59
447,2025-05-17 05:55:15,6967,Arabic,Yoruba,12.56,130.68,Moderate,Street,Dim,Obstacle,38,62.52
448,2025-03-06 18:44:37,9557,Arabic,Igbo,3.24,102.74,Noisy,Street,Bright,None,49,74.41
449,2025-02-11 03:18:06,3088,Arabic,Yoruba,2.67,173.7,Clear,Street,Bright,Person,13,80.39
450,2025-02-18 02:43:55,5127,French,English,16.68,107.97,Noisy,Indoor,Dim,None,30,84.02
451,2025-03-17 23:57:07,4309,Arabic,Igbo,10.8,171.94,Moderate,Outdoor,Natural,None,47,82.98
452,2025-03-26 18:07:28,1040,English,Igbo,11.76,119.1,Noisy,Outdoor,Bright,Text,16,97.22
453,2025-06-12 01:44:04,9618,French,Yoruba,3.21,161.74,Clear,Indoor,Bright,Obstacle,39,86.97
454,2025-01-29 21:41:53,5558,Yoruba,English,11.12,152.14,Moderate,Street,Dim,Obstacle,7,91.6
455,2025-01-29 02:13:37,1900,English,Igbo,6.79,88.09,Noisy,Street,Bright,Sign,25,60.92
456,2025-01-14 01:24:13,2557,French,Igbo,3.92,102.36,Clear,Indoor,Dim,Text,18,99.02
457,2025-04-08 10:55:57,6931,Yoruba,English,13.18,162.25,Moderate,Classroom,Dim,Obstacle,29,79.17
458,2025-01-05 01:16:51,9105,French,Arabic,6.96,140.64,Clear,Classroom,Bright,Sign,5,84.25
459,2025-03-29 05:02:17,1244,Arabic,French,15.53,97.48,Noisy,Classroom,Natural,Obstacle,7,98.11
460,2025-01-18 01:13:03,7624,Igbo,Yoruba,16.68,146.63,Clear,Office,Bright,Person,38,62.73
461,2025-06-19 01:39:03,7182,Igbo,English,1.49,93.52,Moderate,Office,Artificial,Text,8,63.2
462,2025-03-24 18:32:10,1594,English,French,15.76,92.2,Noisy,Office,Natural,Person,32,72.47
463,2025-05-25 23:55:57,8677,Yoruba,Igbo,10.62,123.95,Moderate,Street,Artificial,Text,10,60.01
464,2025-03-09 12:08:47,2563,Igbo,English,1.34,140.26,Clear,Outdoor,Natural,Person,27,66.08
465,2025-06-01 13:12:09,3401,English,Hausa,2.17,158.08,Noisy,Classroom,Bright,Sign,14,68.47
466,2025-03-09 05:51:23,3890,Yoruba,Igbo,10.21,155.43,Moderate,Street,Artificial,Text,35,87.8
467,2025-01-15 10:57:29,9717,French,Arabic,19.69,103.92,Noisy,Market,Bright,None,39,62.99
468,2025-06-14 11:30:03,6241,Hausa,English,15.87,106.54,Moderate,Indoor,Dim,Obstacle,11,87.69
469,2025-03-24 16:08:21,8142,Igbo,Arabic,2.18,130.94,Noisy,Street,Artificial,Person,43,69.16
470,2025-03-29 08:04:40,4367,French,Igbo,5.42,102.08,Moderate,Office,Artificial,Sign,33,84.96
471,2025-01-13 02:35:55,3108,Hausa,English,11.01,122.61,Clear,Office,Dim,Text,41,95.46
472,2025-05-15 21:52:18,3235,Yoruba,Igbo,9.55,99.46,Clear,Classroom,Artificial,Obstacle,11,81.02
473,2025-04-16 13:05:09,6492,French,Yoruba,10.15,97.69,Clear,Classroom,Dim,Text,26,98.55
474,2025-03-05 06:17:40,1812,English,French,5.72,93.38,Clear,Street,Dim,Person,25,60.77
475,2025-06-05 20:44:47,3050,Igbo,French,5.94,156.03,Noisy,Street,Bright,Obstacle,43,84.76
476,2025-06-13 07:00:41,8401,Yoruba,English,7.15,163.43,Noisy,Market,Natural,Sign,49,99.03
477,2025-03-20 12:38:21,4681,Yoruba,French,16.23,175.96,Moderate,Street,Artificial,Person,40,74.86
478,2025-04-12 19:53:11,9333,Yoruba,Igbo,6.05,144.61,Noisy,Market,Bright,Obstacle,25,93.77
479,2025-01-30 18:24:18,7142,Igbo,Hausa,2.86,128.82,Moderate,Market,Artificial,Sign,8,94.59
480,2025-01-18 15:50:25,6328,English,Igbo,5.63,145.17,Moderate,Indoor,Bright,Sign,39,75.04
481,2025-02-04 17:46:49,8399,French,English,8.5,125.94,Clear,Office,Dim,Sign,25,98.25
482,2025-04-30 12:40:31,6759,French,Yoruba,3.53,90.21,Moderate,Indoor,Natural,Text,13,97.71
483,2025-04-29 14:37:22,6659,Igbo,Yoruba,16.37,87.64,Clear,Market,Dim,Obstacle,37,93.63
484,2025-04-14 03:13:07,4311,French,English,1.73,170.18,Noisy,Classroom,Dim,Person,25,93.01
485,2025-05-17 21:52:41,4191,Arabic,French,10.41,118.63,Noisy,Office,Bright,Sign,26,85.47
486,2025-03-19 19:18:35,6243,Igbo,English,12.66,86.67,Clear,Office,Dim,Sign,28,95.3
487,2025-04-21 09:46:06,8201,Arabic,Hausa,3.01,178.83,Moderate,Outdoor,Dim,Person,27,87.21
